"","state","name","region","division","area","population"
"1","AK","Alaska","West","Pacific","589757","4779736"
"2","AL","Alabama","South","East South Central","51609","710231"
"3","AR","Arkansas","South","West South Central","53104","6392017"
"4","AZ","Arizona","West","Mountain","113909","2915918"
"5","CA","California","West","Pacific","158693","37253956"
"6","CO","Colorado","West","Mountain","104247","5029196"
"7","CT","Connecticut","Northeast","New England","5009","3574097"
"8","DC","District of Columbia","South","South Atlantic","68.3","897934"
"9","DE","Delaware","South","South Atlantic","2057","601723"
"10","FL","Florida","South","South Atlantic","58560","18801310"
"11","GA","Georgia","South","South Atlantic","58876","9687653"
"12","HI","Hawaii","West","Pacific","6450","1360301"
"13","IA","Iowa","Midwest","West North Central","56290","1567582"
"14","ID","Idaho","West","Mountain","83557","12830632"
"15","IL","Illinois","Midwest","East North Central","56400","6483802"
"16","IN","Indiana","Midwest","East North Central","36291","3046355"
"17","KS","Kansas","Midwest","West North Central","82264","2853118"
"18","KY","Kentucky","South","East South Central","40395","4339367"
"19","LA","Louisiana","South","West South Central","48523","4533372"
"20","MA","Massachusetts","Northeast","New England","8257","1328361"
"21","MD","Maryland","South","South Atlantic","10577","5773552"
"22","ME","Maine","Northeast","New England","33215","6547629"
"23","MI","Michigan","Midwest","East North Central","58216","9883640"
"24","MN","Minnesota","Midwest","West North Central","84068","5303925"
"25","MO","Missouri","Midwest","West North Central","69686","2967297"
"26","MS","Mississippi","South","East South Central","47716","5988927"
"27","MT","Montana","West","Mountain","147138","989415"
"28","NC","North Carolina","South","South Atlantic","52586","1826341"
"29","ND","North Dakota","Midwest","West North Central","70665","2700551"
"30","NE","Nebraska","Midwest","West North Central","77227","1316470"
"31","NH","New Hampshire","Northeast","New England","9304","8791894"
"32","NJ","New Jersey","Northeast","Mid-Atlantic","7836","2059179"
"33","NM","New Mexico","West","Mountain","121666","19378102"
"34","NV","Nevada","West","Mountain","110540","9535483"
"35","NY","New York","Northeast","Mid-Atlantic","49576","672591"
"36","OH","Ohio","Midwest","East North Central","41222","11536504"
"37","OK","Oklahoma","South","West South Central","69919","3751351"
"38","OR","Oregon","West","Pacific","96981","3831074"
"39","PA","Pennsylvania","Northeast","Mid-Atlantic","45333","12702379"
"40","RI","Rhode Island","Northeast","New England","1214","1052567"
"41","SC","South Carolina","South","South Atlantic","31055","4625364"
"42","SD","South Dakota","Midwest","West North Central","77047","814180"
"43","TN","Tennessee","South","East South Central","42244","6346105"
"44","TX","Texas","South","West South Central","267339","25145561"
"45","UT","Utah","West","Mountain","84916","2763885"
"46","VA","Virginia","South","South Atlantic","40815","625741"
"47","VT","Vermont","Northeast","New England","9609","8001024"
"48","WA","Washington","West","Pacific","68192","6724540"
"49","WI","Wisconsin","Midwest","East North Central","56154","1852994"
"50","WV","West Virginia","South","South Atlantic","24181","5686986"
"51","WY","Wyoming","West","Mountain","97914","563626"
"52","AS","American Samoa",NA,NA,"76.8","55519"
"53","GU","Guam",NA,NA,"212","159358"
"54","MP","Northern Mariana Islands",NA,NA,"179.01","53833"
"55","PR","Puerto Rico",NA,NA,"3515","3725789"
"56","VI","U.S. Virgin Islands",NA,NA,"133.73","106405"
