"City","State","Shape","Summary","Duration","Country","Year","Month","Day","Time"
"Keizer","OR","Unknown","Extremly loud and long sonic boom.","13 seconds","USA",2016,"November",11,"11:00"
"Herod","IL","Other","Strange smoke/vapor trail over the Ohio River. Color white. ((NUFORC Note: 
Contrails. PD))",NA,"USA",2016,"November",11,"08:30"
"Leominster","MA","Cigar","Very large metallic craft hovered then darted away at very high speed 
towards the sun. ((anonymous report))","5 minutes","USA",2016,"November",11,"07:20"
"Gilcrest","CO","Teardrop","Heading SB on Hwy 85 going through Gilcrest. Single bright solid dot flies 
northeast to southeast. No trail but was really quick.","~5 seconds","USA",2016,"November",11,"05:30"
"Oceanside","CA","Light","Light in sky changing color and moving sporadically in relative spot in 
sky.((NUFORC Note: We suspect a star. Anonymous report. PD))","Continuos","USA",2016,"November",10,"23:00"
"Colby (south of)","WI","Teardrop","Emerald teardrop light with golden sparking trail with no emenating light.","4-7 seconds","USA",2016,"November",10,"21:43"
"Lake Tanis","TN","Light","Two blinking red lights stayed equal distance apart, one followed the other 
directly in line.","2 minutes","USA",2016,"November",10,"21:00"
"Virginia Beach","VA","Disk","Long UFO over school. ((anonymous report))","30 seconds","USA",2016,"November",10,"20:40"
"La Ronge (Canada)","SK","Unknown","We seen 7 lights moving across the northern sky.","5 minutes","Canada",2016,"November",10,"20:40"
"Lemon Grove","CA","Light","Yellowish orange lights, maybe spheres released red circles then 
disappeared in San Diego. ((anonymous report))","2 minutes","USA",2016,"November",10,"20:15"
"Indianapolis","IN","Sphere","Glowing Orange orbs float across sky.","3 minutes","USA",2016,"November",10,"19:45"
"Colorado Springs","CO","Light","Fast-moving light being chased by a helicopter.","1 minute","USA",2016,"November",10,"19:35"
"Glendale","AZ","Light","3 lights.","12 minutes","USA",2016,"November",10,"19:17"
"Glendale","AZ","Light","3 lights over Phoenix, AZ.","15 minutes","USA",2016,"November",10,"19:15"
"Phoenix","AZ","Formation","White/orange circular lights in rectangle formation Phoenix, Arizona.","5 minutes","USA",2016,"November",10,"19:15"
"Glendale","AZ","Formation","3 lights spotted in line over Phoenix.","20 minutes","USA",2016,"November",10,"19:00"
"Phoenix","AZ","Circle","3 lights in formation turning off and on in sequence.","15 minutes","USA",2016,"November",10,"19:00"
"Euless","TX","Circle","Bright red object in early night sky. Turned to purple moved horizontally 
and quickly vanished.","1-2 minutes","USA",2016,"November",10,"18:40"
"San Jose","CA","Formation","3 objects moving across the sky, until 1 leaves the group.","15 minutes","USA",2016,"November",10,"18:00"
"Washington","PA","Light","Bright unknown object hovered for 60 minutes.","1 hour","USA",2016,"November",10,"18:00"
"Arlington","WA","Light","Very bright light fairly low in the sky as seen SW from Arlington. Very 
slowly descended then faded out and just disappeared.","15 minutes","USA",2016,"November",10,"17:45"
"Lester Prairie","MN","Sphere","Spotted UFO craft near Lester Prairie, MN.","1 minute","USA",2016,"November",10,"17:20"
"Glendale","AZ","Other","Three lights in a line a cross the sky. ((anonymous report))","15minutes","USA",2016,"November",10,"15:30"
"Alexandria","VA","Formation","There was a group of what looked like metallic spheres appearing an 
vanishing over Maryland seen from across the river in Virginia.","6 minutes","USA",2016,"November",10,"13:38"
"Saskatoon (Canada)","SK","Cylinder","Took a video.","2 minutes","Canada",2016,"November",10,"08:34"
"La Habra","CA","Light","Reddish hyper-speed object.","1 second","USA",2016,"November",10,"00:00"
"Albemarle","NC","Cylinder","Seen strange light bounce in sky with different colored lights moving side 
to side in one spot. ((NUFORC Note: Star?? PD))",NA,"USA",2016,"November",9,"23:58"
"Madison","SD","Light","Strange hovering light due East of Madison, SD. Sighting occurred at the 
dosc golf course at 7th and Blanche. Light hovered in the far","1 hour","USA",2016,"November",9,"23:00"
"San Rafael","CA","Circle","White, circular glow of giant light above San Rafael on Wednesday night 
(11/09/2016)",">5 minutes","USA",2016,"November",9,"21:30"
"Spokane","WA","Triangle","Brightly lit triangle craft hovered 50 feet above roadway Spokane, WA.","10 minutes","USA",2016,"November",9,"21:30"
"Chicago","IL","Circle","I saw a couple of little dots flashing red by the Chicago sky line. 
((anonymous report))","30 minutes","USA",2016,"November",9,"21:00"
"Kirkland","WA","Light","Orange in color moving fast just over tops of buildings paralell to 405","5 minutes","USA",2016,"November",9,"21:00"
"Summerville","SC","Triangle","Saw a v-shaped object with 6 white lights and 1 red light in the center. 
((anonymous report))","8 minutes","USA",2016,"November",9,"18:30"
"Saskatoon (Canada)","SK",NA,"Meteor-like 2 or 3 close together light blue lights, really fast across sky 
at dawn","5 seconds","Canada",2016,"November",9,"18:20"
"Fort Fraiser/Vanderhoof","BC","Light","Traveling East on HWY 16 between communities when the event occurred. 
Started off as a single green/blue light when it entered my line","2-6 seconds","Canada",2016,"November",9,"18:15"
"Helena","MT","Triangle","I have not seen that shape and detail before now. I saw a large triangular 
shaped object in the sky.","74 minutes","USA",2016,"November",9,"18:00"
"Portage","IN","Other","V shaped object appeared out of nowhere.","30","USA",2016,"November",9,"17:12"
"Detroit","MI",NA,"A whitish orb. It had other colors coming and going out of focus but w/ a 
constant white glow. ((NUFORC Note: Star? PD))","3 hours","USA",2016,"November",9,"17:00"
"Leominster","MA","Disk","Saucer-shaped craft hiding in clouds, hovering over median strip on Route 2 
with red and white blinking lights. ((anonymous report))","30 seconds","USA",2016,"November",9,"17:00"
"Santa Ana","CA","Unknown","Orange light in Orange County.","3 minutes","USA",2016,"November",9,"16:45"
"Silverton","OR","Disk","I saw a emerald disk covered in a transparent teardrop shell streak across 
the sky.","3 seconds","USA",2016,"November",9,"16:35"
"Findlay","OH","Circle","I saw 6 self illuminated objects shaped like balls, that were giving off a 
light orange glow.","3 minutes","USA",2016,"November",9,"13:55"
